t,S,Price
0.13413698630136986,179.98,32.75
0.1916712328767123,179.98,31.16
0.2683835616438356,179.98,31.65
0.36427397260273975,179.98,32.2
0.44098630136986305,179.98,33.49
0.5368767123287671,179.98,33.89
0.6135890410958904,179.98,34.61
0.6904109589041096,179.98,35.35
0.863013698630137,179.98,36.0
1.2848219178082192,179.98,41.0
1.8602739726027397,179.98,42.8
2.282082191780822,179.98,47.0
0.010958904109589041,181.72,32.05
0.030136986301369864,181.72,32.16
0.04657534246575343,181.72,32.35
0.0684931506849315,181.72,32.44
0.08767123287671233,181.72,32.61
0.10684931506849316,181.72,32.6
0.12602739726027398,181.72,34.7
0.18356164383561643,181.72,33.06
0.2602739726027397,181.72,33.3
0.3561643835616438,181.72,33.94
0.4328767123287671,181.72,35.44
0.5287671232876713,181.72,35.15
0.6054794520547945,181.72,36.25
0.6823013698630137,181.72,37.15
0.8549041095890412,181.72,37.94
1.2767123287671234,181.72,41.79
1.8521643835616437,181.72,44.4
2.2739726027397262,181.72,49.0
0.00821917808219178,179.97,30.25
0.0273972602739726,179.97,30.49
0.043835616438356165,179.97,30.6
0.06575342465753424,179.97,30.7
0.08493150684931507,179.97,30.8
0.10410958904109589,179.97,30.8
0.1232876712328767,179.97,32.44
0.18082191780821918,179.97,31.35
0.25753424657534246,179.97,31.7
0.35342465753424657,179.97,32.35
0.4301369863013699,179.97,33.6
0.5260273972602739,179.97,33.7
0.6027397260273972,179.97,34.7
0.6795616438356165,179.97,35.51
0.8521643835616439,179.97,36.15
1.273972602739726,179.97,40.2
1.8494246575342466,179.97,43.15
2.271232876712329,179.97,46.85
0.005479452054794521,178.44,28.5
0.024657534246575342,178.44,28.65
0.0410958904109589,178.44,28.8
0.06301369863013699,178.44,28.96
0.0821917808219178,178.44,29.05
0.10136986301369863,178.44,29.29
0.12054794520547946,178.44,31.5
0.1780821917808219,178.44,29.65
0.2547945205479452,178.44,29.94
0.3506849315068493,178.44,30.75
0.4273972602739726,178.44,32.15
0.5232876712328767,178.44,32.05
0.6,178.44,32.86
0.6768219178082192,178.44,33.95
0.8494246575342467,178.44,34.96
1.2712328767123289,178.44,40.05
1.8466849315068492,178.44,41.6
2.2684931506849315,178.44,43.99
0.0027397260273972603,178.65,28.85
0.021917808219178082,178.65,29.1
0.038356164383561646,178.65,29.1
0.06027397260273973,178.65,29.2
0.07945205479452055,178.65,29.5
0.09863013698630137,178.65,29.45
0.1178082191780822,178.65,31.79
0.17534246575342466,178.65,30.05
0.25205479452054796,178.65,30.45
0.34794520547945207,178.65,31.21
0.4246575342465753,178.65,32.6
0.5205479452054794,178.65,32.5
0.5972602739726027,178.65,33.1
0.6740821917808218,178.65,34.46
0.8466849315068494,178.65,35.04
1.2684931506849315,178.65,40.09
1.843945205479452,178.65,42.01
2.265753424657534,178.65,45.54
0.0,178.02,28.06
0.019178082191780823,178.02,28.4
0.03561643835616438,178.02,28.45
0.057534246575342465,178.02,28.75
0.07671232876712329,178.02,28.75
0.0958904109589041,178.02,28.7
0.11506849315068493,178.02,29.1
0.1726027397260274,178.02,29.16
0.2493150684931507,178.02,29.4
0.3452054794520548,178.02,31.3
0.42191780821917807,178.02,32.06
0.5178082191780822,178.02,31.6
0.5945205479452055,178.02,32.14
0.6713424657534246,178.02,33.86
0.8439452054794521,178.02,34.95
1.2657534246575342,178.02,38.45
1.8412054794520547,178.02,41.29
2.263013698630137,178.02,44.51
0.010958904109589041,175.3,25.56
0.0273972602739726,175.3,25.75
0.049315068493150684,175.3,25.75
0.0684931506849315,175.3,26.14
0.08767123287671233,175.3,26.0
0.10684931506849316,175.3,26.36
0.1643835616438356,175.3,26.7
0.2410958904109589,175.3,27.09
0.336986301369863,175.3,27.84
0.4136986301369863,175.3,28.75
0.5095890410958904,175.3,29.45
0.5863013698630137,175.3,29.95
0.6631232876712329,175.3,31.35
0.8357260273972603,175.3,32.11
1.2575342465753425,175.3,37.45
1.8329863013698628,175.3,39.9
2.254794520547945,175.3,43.8
0.00821917808219178,175.24,25.7
0.024657534246575342,175.24,25.6
0.04657534246575343,175.24,25.71
0.06575342465753424,175.24,25.9
0.08493150684931507,175.24,26.0
0.10410958904109589,175.24,26.35
0.16164383561643836,175.24,26.6
0.23835616438356164,175.24,27.04
0.33424657534246577,175.24,27.84
0.410958904109589,175.24,28.8
0.5068493150684932,175.24,29.34
0.5835616438356165,175.24,30.0
0.6603835616438356,175.24,31.29
0.8329863013698631,175.24,32.4
1.2547945205479452,175.24,35.79
1.8302465753424657,175.24,39.39
2.252054794520548,175.24,44.0
0.005479452054794521,171.27,22.04
0.021917808219178082,171.27,21.65
0.043835616438356165,171.27,21.9
0.06301369863013699,171.27,22.25
0.0821917808219178,171.27,22.15
0.10136986301369863,171.27,24.65
0.1589041095890411,171.27,23.05
0.2356164383561644,171.27,23.6
0.3315068493150685,171.27,24.46
0.40821917808219177,171.27,25.5
0.5041095890410959,171.27,26.86
0.5808219178082191,171.27,27.61
0.6576438356164384,171.27,28.45
0.8302465753424658,171.27,29.45
1.252054794520548,171.27,33.5
1.8275068493150683,171.27,36.75
2.249315068493151,171.27,41.5
0.0027397260273972603,168.77,18.94
0.019178082191780823,168.77,19.05
0.0410958904109589,168.77,19.45
0.06027397260273973,168.77,19.69
0.07945205479452055,168.77,20.06
0.09863013698630137,168.77,22.2
0.1178082191780822,168.77,22.75
0.15616438356164383,168.77,21.1
0.2328767123287671,168.77,21.8
0.3287671232876712,168.77,23.8
0.4054794520547945,168.77,24.8
0.5013698630136987,168.77,24.65
0.5780821917808219,168.77,25.41
0.6549041095890411,168.77,27.04
0.8275068493150686,168.77,28.1
1.2493150684931507,168.77,33.0
1.8247671232876712,168.77,35.1
2.2465753424657535,168.77,39.49
0.0,164.94,15.3
0.01643835616438356,164.94,15.65
0.038356164383561646,164.94,16.0
0.057534246575342465,164.94,16.46
0.07671232876712329,164.94,16.91
0.0958904109589041,164.94,19.0
0.11506849315068493,164.94,18.06
0.15342465753424658,164.94,18.3
0.23013698630136986,164.94,19.15
0.32602739726027397,164.94,20.95
0.40273972602739727,164.94,21.35
0.4986301369863014,164.94,22.14
0.5753424657534246,164.94,22.89
0.6521643835616439,164.94,24.95
0.8247671232876713,164.94,25.3
1.2465753424657535,164.94,29.21
1.8220273972602739,164.94,32.2
2.243835616438356,164.94,37.01
0.00821917808219178,172.77,23.1
0.030136986301369864,172.77,23.35
0.049315068493150684,172.77,23.55
0.0684931506849315,172.77,23.75
0.08767123287671233,172.77,25.25
0.10684931506849316,172.77,24.65
0.14520547945205478,172.77,24.7
0.2219178082191781,172.77,25.2
0.3178082191780822,172.77,26.26
0.39452054794520547,172.77,27.2
0.4904109589041096,172.77,27.9
0.5671232876712329,172.77,28.59
0.643945205479452,172.77,30.04
0.8165479452054795,172.77,30.75
1.2383561643835617,172.77,35.99
1.813808219178082,172.77,37.96
2.2356164383561645,172.77,42.5
0.005479452054794521,168.34,18.7
0.0273972602739726,168.34,19.05
0.04657534246575343,168.34,19.24
0.06575342465753424,168.34,19.65
0.08493150684931507,168.34,20.3
0.10410958904109589,168.34,21.05
0.14246575342465753,168.34,20.96
0.2191780821917808,168.34,21.7
0.3150684931506849,168.34,22.76
0.3917808219178082,168.34,24.05
0.4876712328767123,168.34,24.69
0.5643835616438356,168.34,25.35
0.6412054794520547,168.34,27.95
0.8138082191780822,168.34,28.45
1.2356164383561643,168.34,31.49
1.8110684931506849,168.34,35.06
2.232876712328767,168.34,39.5
